City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
126,Balkhash,KZ,46.844,74.9804,57.81,28,0,13.42,2022-10-12 05:39:13
127,Basoko,CD,1.2391,23.616,71.76,96,100,5.48,2022-10-12 05:39:13
128,Ostrovnoy,RU,68.0531,39.5131,44.29,87,100,20.45,2022-10-12 05:39:14
129,Saldanha,ZA,-33.0117,17.9442,59.05,90,98,15.12,2022-10-12 05:39:15
130,New Norfolk,AU,-42.7826,147.0587,65.88,61,100,4.0,2022-10-12 05:39:15
131,Les Cayes,HT,18.2,-73.75,77.43,82,65,2.33,2022-10-12 05:39:16
132,Hanzhong,CN,33.0728,107.0303,56.07,77,100,1.74,2022-10-12 05:39:17
133,Ambon,ID,-3.6954,128.1814,87.94,70,20,6.91,2022-10-12 05:39:17
134,Handan,CN,36.6006,114.4678,69.03,26,99,10.98,2022-10-12 05:39:18
135,Hamilton,US,39.1834,-84.5333,61.57,66,75,9.22,2022-10-12 05:36:43
136,Vasterhaninge,SE,59.1167,18.1,37.83,94,27,4.21,2022-10-12 05:39:19
137,Kahului,US,20.8947,-156.47,82.42,79,40,8.05,2022-10-12 05:39:20
138,Cidreira,BR,-30.1811,-50.2056,62.1,94,100,11.48,2022-10-12 05:39:20
139,Najran,SA,17.4924,44.1277,74.05,18,17,4.52,2022-10-12 05:38:28
140,Penhold,CA,52.1334,-113.8687,46.45,46,100,11.5,2022-10-12 05:40:09
141,Riverton,US,40.5219,-111.9391,60.39,44,0,3.0,2022-10-12 05:36:34
142,Luderitz,NA,-26.6481,15.1594,67.14,61,83,11.5,2022-10-12 05:40:23
143,Miles City,US,46.4083,-105.8406,45.57,57,0,8.05,2022-10-12 05:40:24
144,Kasongo-Lunda,CD,-6.4667,16.8167,71.76,91,83,0.2,2022-10-12 05:40:24
145,Thinadhoo,MV,0.5333,72.9333,82.8,75,100,17.25,2022-10-12 05:40:25
146,Kurilsk,RU,45.2333,147.8833,51.46,76,90,17.9,2022-10-12 05:40:26
147,Kalulushi,ZM,-12.8378,28.0919,73.15,26,10,11.32,2022-10-12 05:40:26
148,Port Blair,IN,11.6667,92.75,80.64,83,40,2.3,2022-10-12 05:40:27
149,Airai,TL,-8.9266,125.4092,71.11,63,100,1.19,2022-10-12 05:40:27
150,Manokwari,ID,-0.8667,134.0833,83.28,71,98,4.9,2022-10-12 05:40:28
151,Lahaina,US,20.8783,-156.6825,82.4,91,77,5.14,2022-10-12 05:40:29
152,Chuy,UY,-33.6971,-53.4616,53.76,96,87,6.46,2022-10-12 05:40:29
